ND1;ND2;VA;V1;V2;Vb;Vb-V1;Vb-V2;a1;a2;x1;x2;phi1;phi2
1.00E+16;1.00E+16;0;0.196103283;0.196103283;0.677053597;0.480950313;0.480950313;N/A;N/A;2.50E-05;2.50E-05;0.480950313;0.480950313
1.00E+16;1.00E+16;-0.9;0.196103283;1.096103283;1.230992008;1.034888725;0.134888725;0.615487124;0.615487124;3.66E-05;1.34E-05;0.480950313;0.480950313
1.00E+16;1.00E+16;-0.8;0.196103283;0.996103283;1.159088796;0.962985513;0.162985513;0.602543999;0.602543999;3.54E-05;1.46E-05;0.480950313;0.480950313
1.00E+16;1.00E+16;-0.7;0.196103283;0.896103283;1.089774209;0.893670925;0.193670925;0.589600874;0.589600874;3.41E-05;1.59E-05;0.480950313;0.480950313
1.00E+16;1.00E+16;-0.6;0.196103283;0.796103283;1.023048246;0.826944963;0.226944963;0.576657749;0.576657749;3.28E-05;1.72E-05;0.480950313;0.480950313
1.00E+16;1.00E+16;-0.5;0.196103283;0.696103283;0.958910909;0.762807625;0.262807625;0.563714624;0.563714624;3.15E-05;1.85E-05;0.480950313;0.480950313
1.00E+16;1.00E+16;-0.4;0.196103283;0.596103283;0.897362196;0.701258913;0.301258913;0.550771499;0.550771499;3.02E-05;1.98E-05;0.480950313;0.480950313
1.00E+16;1.00E+16;-0.3;0.196103283;0.496103283;0.838402109;0.642298826;0.342298826;0.537828374;0.537828374;2.89E-05;2.11E-05;0.480950313;0.480950313
1.00E+16;1.00E+16;-0.2;0.196103283;0.396103283;0.782030647;0.585927363;0.385927363;0.524885249;0.524885249;2.76E-05;2.24E-05;0.480950313;0.480950313
1.00E+16;1.00E+16;-0.1;0.196103283;0.296103283;0.728247809;0.532144526;0.432144526;0.511942124;0.511942124;2.63E-05;2.37E-05;0.480950313;0.480950313
1.00E+16;1.00E+16;0.1;0.196103283;0.096103283;0.628448009;0.432344726;0.532344726;0.486055874;0.486055874;2.37E-05;2.63E-05;0.480950313;0.480950313
1.00E+16;1.00E+16;0.2;0.196103283;-0.003896717;0.582431047;0.386327764;0.586327764;0.473112749;0.473112749;2.24E-05;2.76E-05;0.480950313;0.480950313
1.00E+16;1.00E+16;0.3;0.196103283;-0.103896717;0.53900271;0.342899426;0.642899426;0.460169624;0.460169624;2.11E-05;2.89E-05;0.480950313;0.480950313
1.00E+16;1.00E+16;0.4;0.196103283;-0.203896717;0.498162997;0.302059714;0.702059714;0.447226499;0.447226499;1.98E-05;3.02E-05;0.480950313;0.480950313
1.00E+16;1.00E+16;0.5;0.196103283;-0.303896717;0.45991191;0.263808626;0.763808626;0.434283374;0.434283374;1.85E-05;3.15E-05;0.480950313;0.480950313
1.00E+16;1.00E+16;0.6;0.196103283;-0.403896717;0.424249447;0.228146164;0.828146164;0.421340249;0.421340249;1.72E-05;3.28E-05;0.480950313;0.480950313
1.00E+16;1.00E+16;0.7;0.196103283;-0.503896717;0.39117561;0.195072327;0.895072327;0.408397124;0.408397124;1.59E-05;3.41E-05;0.480950313;0.480950313
1.00E+16;1.00E+16;0.8;0.196103283;-0.603896717;0.360690398;0.164587114;0.964587114;0.395453999;0.395453999;1.46E-05;3.54E-05;0.480950313;0.480950313
1.00E+16;1.00E+16;0.9;0.196103283;-0.703896717;0.33279381;0.136690527;1.036690527;0.382510874;0.382510874;1.34E-05;3.66E-05;0.480950313;0.480950313
1.00E+16;1.20E+16;0;0.196103283;0.191399387;0.631703293;0.435600009;0.440303906;#DIV/0!;#DIV/0!;2.38E-05;2.18E-05;0.435600009;0.440303906
1.00E+16;1.20E+16;-0.9;0.196103283;1.091399387;1.209899256;1.013795972;0.118499869;0.642439959;0.642439959;3.63E-05;1.14E-05;0.435600009;0.440303906
1.00E+16;1.20E+16;-0.8;0.196103283;0.991399387;1.135225301;0.939122018;0.143825914;0.629402511;0.629402511;3.49E-05;1.26E-05;0.435600009;0.440303906
1.00E+16;1.20E+16;-0.7;0.196103283;0.891399387;1.063070231;0.866966948;0.171670844;0.616238483;0.616238483;3.35E-05;1.37E-05;0.435600009;0.440303906
1.00E+16;1.20E+16;-0.6;0.196103283;0.791399387;0.993470629;0.797367346;0.202071242;0.602945561;0.602945561;3.22E-05;1.49E-05;0.435600009;0.440303906
1.00E+16;1.20E+16;-0.5;0.196103283;0.691399387;0.926463975;0.730360692;0.235064588;0.589521365;0.589521365;3.08E-05;1.60E-05;0.435600009;0.440303906
1.00E+16;1.20E+16;-0.4;0.196103283;0.591399387;0.862088673;0.665985389;0.270689286;0.57596345;0.57596345;2.94E-05;1.72E-05;0.435600009;0.440303906
1.00E+16;1.20E+16;-0.3;0.196103283;0.491399387;0.800384084;0.6042808;0.308984696;0.562269303;0.562269303;2.80E-05;1.83E-05;0.435600009;0.440303906
1.00E+16;1.20E+16;-0.2;0.196103283;0.391399387;0.741390561;0.545287277;0.349991173;0.548436338;0.548436338;2.66E-05;1.95E-05;0.435600009;0.440303906
1.00E+16;1.20E+16;-0.1;0.196103283;0.291399387;0.685149483;0.489046199;0.393750095;0.534461898;0.534461898;2.52E-05;2.07E-05;0.435600009;0.440303906
1.00E+16;1.20E+16;0.1;0.196103283;0.091399387;0.581095536;0.384992253;0.489696149;0.506077569;0.506077569;2.24E-05;2.30E-05;0.435600009;0.440303906
1.00E+16;1.20E+16;0.2;0.196103283;-0.008600613;0.5333709;0.337267616;0.541971512;0.491661966;0.491661966;2.09E-05;2.42E-05;0.435600009;0.440303906
1.00E+16;1.20E+16;0.3;0.196103283;-0.108600613;0.488575256;0.292471973;0.597175869;0.477093456;0.477093456;1.95E-05;2.54E-05;0.435600009;0.440303906
1.00E+16;1.20E+16;0.4;0.196103283;-0.208600613;0.446755708;0.250652424;0.65535632;0.462368963;0.462368963;1.81E-05;2.66E-05;0.435600009;0.440303906
1.00E+16;1.20E+16;0.5;0.196103283;-0.308600613;0.407960632;0.211857349;0.716561245;0.447485321;0.447485321;1.66E-05;2.78E-05;0.435600009;0.440303906
1.00E+16;1.20E+16;0.6;0.196103283;-0.408600613;0.372239734;0.17613645;0.780840346;0.432439265;0.432439265;1.51E-05;2.90E-05;0.435600009;0.440303906
1.00E+16;1.20E+16;0.7;0.196103283;-0.508600613;0.339644091;0.143540807;0.848244704;0.417227431;0.417227431;1.37E-05;3.03E-05;0.435600009;0.440303906
1.00E+16;1.20E+16;0.8;0.196103283;-0.608600613;0.310226214;0.114122931;0.918826827;0.401846348;0.401846348;1.22E-05;3.15E-05;0.435600009;0.440303906
1.00E+16;1.20E+16;0.9;0.196103283;-0.708600613;0.284040101;0.087936818;0.992640714;0.386292435;0.386292435;1.07E-05;3.27E-05;0.435600009;0.440303906
1.00E+16;1.40E+16;0;0.196103283;0.1874223;0.594886592;0.398783308;0.407464292;#DIV/0!;#DIV/0!;2.28E-05;1.95E-05;0.398783308;0.407464292
1.00E+16;1.40E+16;-0.9;0.196103283;1.0874223;1.193203441;0.997100158;0.105781142;0.6647965;0.6647965;3.60E-05;1.00E-05;0.398783308;0.407464292
1.00E+16;1.40E+16;-0.8;0.196103283;0.9874223;1.116293411;0.920190128;0.128871111;0.651758524;0.651758524;3.46E-05;1.10E-05;0.398783308;0.407464292
